id_penjualan,id_distributor,id_invoice,tanggal,id_customer,id_barang,jumlah_barang,unit,harga,mata_uang,level,nama,id_cabang_sales,cabang_sales,grup,kode_barang,nama_barang,kemasan,nama_tipe,kode_lini,lini
IN5997BRG0001,TD,IN5997,2020-01-22,CUST55380,BRG0001,1,DUS,1170,IDR,Company,"APOTEK TAPAK",CAB01,Aceh,Apotek,BRG0001,"ACYCLOVIR DUS",DUS,"Produk jadi",206,"OGB & PH"
IN6297BRG0002,TD,IN6297,2020-01-22,CUST55381,BRG0002,5,DUS,2338,IDR,Company,"APOTEK MAJA",CAB02,Kuningan,Apotek,BRG0002,"ALERGINE TABLET SALUT",DUS,"Produk jadi",203,ETIKAL
IN6155BRG0003,TA,IN6155,2021-01-22,CUST55382,BRG0003,9,DUS,10691,IDR,Company,"KLINIK GM",CAB03,Jakarta,Klinik,BRG0003,AMPICILLIN,BOTOL,"Produk jadi",210,MARCKS
IN6144BRG0004,EPM,IN6144,2022-01-22,CUST55383,BRG0004,13,DUS,8701,IDR,Company,"APOTEK MERDEKA",CAB04,Bandung,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",KAPSUL,"Produk jadi",201,VNS
IN6280BRG0005,TD,IN6280,2023-01-22,CUST55384,BRG0005,1,DUS,5648,IDR,Company,"KLINIK SAHABAT",CAB05,Tangerang,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",TABLET,"Produk jadi",203,SLCYL
IN6052BRG0006,TA,IN6052,2023-01-22,CUST55385,BRG0006,5,DUS,2819,IDR,Company,"APOTEK SINAR JAYA",CAB06,Bekasi,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",TABLET,"Produk jadi",205,"OGB & PH"
IN6089BRG0007,EPM,IN6089,2025-01-22,CUST55386,BRG0007,9,DUS,4592,IDR,Company,"APOTEK SAHABAT",CAB07,Padang,Apotek,BRG0007,"ERGOTAMINE COFFEINE",BOTOL,"Produk jadi",206,ETIKAL
IN6251BRG0008,TD,IN6251,2023-01-22,CUST55387,BRG0008,1,DUS,3992,IDR,Company,"APOTEK TAPAK",CAB01,Aceh,Apotek,BRG0008,"TETRACYCLINE KAPSUL 250 MG",KAPSUL,"Produk jadi",204,MARCKS
IN6036BRG0009,TA,IN6036,2027-01-22,CUST55388,BRG0009,23,DUS,5781,IDR,Company,"APOTEK MAJA",CAB02,Kuningan,Apotek,BRG0009,"AMBROXOL HC",BOTOL,"Produk jadi",207,VNS
IN6029BRG0010,EPM,IN6029,2028-01-22,CUST55389,BRG0010,4,DUS,6940,IDR,Company,"KLINIK GM",CAB03,Jakarta,Klinik,BRG0010,PARACETAMOL,BOTOL,"Produk jadi",208,SLCYL
IN6190BRG0001,TD,IN6190,2023-01-22,CUST55390,BRG0001,2,DUS,1170,IDR,Company,"APOTEK MERDEKA",CAB04,Bandung,Apotek,BRG0001,"ACYCLOVIR DUS",DUS,"Produk jadi",206,"OGB & PH"
IN6287BRG0002,TD,IN6287,2030-01-22,CUST55391,BRG0002,17,DUS,2338,IDR,Company,"KLINIK SAHABAT",CAB05,Tangerang,Klinik,BRG0002,"ALERGINE TABLET SALUT",DUS,"Produk jadi",203,ETIKAL
IN6102BRG0003,TA,IN6102,2031-01-22,CUST55392,BRG0003,11,DUS,10691,IDR,Company,"APOTEK SINAR JAYA",CAB06,Bekasi,Apotek,BRG0003,AMPICILLIN,BOTOL,"Produk jadi",210,MARCKS
